100 
1000 1000 1000  
1 256 275 250 
2 332 220 254 
3 129 239 129 
4 196 119 337 
5 151 315 193 
6 273 310 283 
7 354 373 221 
8 305 332 253 
9 155 227 397 
10 128 273 199 
11 389 392 101 
12 129 202 316 
13 288 294 216 
14 197 344 143 
15 351 352 317 
16 327 204 360 
17 278 385 122 
18 198 274 179 
19 198 171 309 
20 315 118 273 
21 306 199 164 
22 100 284 318 
23 290 284 294 
24 360 387 377 
25 273 244 312 
26 178 159 290 
27 334 194 239 
28 288 177 272 
29 183 185 188 
30 130 286 134 
31 238 175 297 
32 164 270 171 
33 353 217 368 
34 183 123 170 
35 348 244 297 
36 269 166 270 
37 400 325 204 
38 268 186 191 
39 300 245 381 
40 232 362 247 
41 360 112 116 
42 254 147 177 
43 179 384 244 
44 174 326 124 
45 235 206 306 
46 107 179 327 
47 383 317 326 
48 211 300 306 
49 364 184 355 
50 192 349 346 
51 389 199 104 
52 243 311 387 
53 197 178 116 
54 200 375 162 
55 252 239 278 
56 379 131 310 
57 224 301 191 
58 133 365 302 
59 382 349 201 
60 219 283 389 
61 215 174 297 
62 231 246 225 
63 155 267 335 
64 397 187 222 
65 352 127 352 
66 397 336 350 
67 280 389 174 
68 375 139 178 
69 395 134 335 
70 144 161 302 
71 191 146 132 
72 348 262 391 
73 271 243 340 
74 307 364 101 
75 217 373 301 
76 252 333 354 
77 226 149 245 
78 292 282 269 
79 163 224 357 
80 252 239 152 
81 326 195 356 
82 299 367 121 
83 273 232 285 
84 353 326 332 
85 351 256 253 
86 233 389 159 
87 275 120 284 
88 228 386 225 
89 188 394 136 
90 373 116 273 
91 192 341 208 
92 179 128 333 
93 309 394 223 
94 341 163 186 
95 336 255 220 
96 132 124 235 
97 353 107 321 
98 338 106 210 
99 253 262 289 
100 330 320 140 
